m,sequence,IO_operations,time_seconds
4,1,204820,3.07487
4,2,204820,3.0659
4,3,204820,3.21826
4,4,204820,3.14221
4,5,204820,3.06929
12,1,614568,14.1456
12,2,614568,11.5704
12,3,614568,13.8002
12,4,614568,12.499
12,5,614568,11.5914
20,1,1024440,39.3093
20,2,1024440,28.7786
20,3,1024440,21.8233
20,4,1024440,22.5242
20,5,1024440,18.9769
28,1,1434440,59.7865
28,2,1434440,33.2968
28,3,1434440,41.7563
28,4,1434440,52.5962
28,5,1434440,51.5244
36,1,2765865,79.7874
36,2,2765865,66.2045
36,3,2765865,72.47
36,4,2765865,63.9373
36,5,2765865,69.1906
44,1,3380473,87.3569
44,2,3380473,77.8355
44,3,3380473,71.3076
44,4,3380473,71.3808
44,5,3380473,84.742
52,1,3995232,116.753
52,2,3995232,112.373
52,3,3995232,84.1126
52,4,3995232,94.7908
52,5,3995232,109.849
