m,sequence,IO_operations,time_seconds
4,1,2647,14.0633
4,2,2850,12.4248
4,3,2841,17.9115
4,4,3056,26.3214
4,5,2843,36.9768
12,1,10688,129.039
12,2,10699,166.772
12,3,10694,124.056
12,4,10697,143.806
12,5,10701,164.545
20,1,17460,246.261
20,2,17462,233.481
20,3,17463,284.602
20,4,17466,282.695
20,5,17469,290.212
28,1,24245,416.269
28,2,24257,410.092
28,3,24249,476.356
28,4,24264,422.163
28,5,24274,430.591
36,1,33857,561.677
36,2,33245,561.713
36,3,33846,643.564
36,4,34375,588.615
36,5,33459,527.817
44,1,56626,832.262
44,2,57659,919.423
44,3,58060,821.968
44,4,58486,805.155
44,5,56025,831.008
52,1,70971,1051.18
52,2,70990,1108.13
52,3,71075,1047.46
52,4,70968,1086.46
52,5,70996,1108.78
