m,sequence,IO_operations,time_seconds
4,1,204820,3.07487
4,2,204820,3.0659
4,3,204820,3.21826
4,4,204820,3.14221
4,5,204820,3.06929
8,1,409680,6.35986
8,2,409680,6.70107
8,3,409680,7.57367
8,4,409680,6.38163
8,5,409680,10.9955
12,1,614568,14.1456
12,2,614568,11.5704
12,3,614568,13.8002
12,4,614568,12.499
12,5,614568,11.5914
16,1,819488,42.3628
16,2,819488,17.6611
16,3,819488,23.8468
16,4,819488,20.9312
16,5,819488,21.6022
20,1,1024440,39.3093
20,2,1024440,28.7786
20,3,1024440,21.8233
20,4,1024440,22.5242
20,5,1024440,18.9769
24,1,1229400,27.4626
24,2,1229400,24.9195
24,3,1229400,21.9266
24,4,1229400,24.6253
24,5,1229400,27.1801
28,1,1434440,59.7865
28,2,1434440,33.2968
28,3,1434440,41.7563
28,4,1434440,52.5962
28,5,1434440,51.5244
32,1,2458609,64.1343
32,2,2458609,49.2265
32,3,2458609,67.9192
32,4,2458609,59.3238
32,5,2458609,58.1468
36,1,2765865,79.7874
36,2,2765865,66.2045
36,3,2765865,72.47
36,4,2765865,63.9373
36,5,2765865,69.1906
40,1,3073164,95.3653
40,2,3073164,77.2381
40,3,3073164,76.4528
40,4,3073164,63.221
40,5,3073164,75.4774
44,1,3380473,87.3569
44,2,3380473,77.8355
44,3,3380473,71.3076
44,4,3380473,71.3808
44,5,3380473,84.742
48,1,3687825,102.483
48,2,3687825,90.7306
48,3,3687825,102.365
48,4,3687825,115.964
48,5,3687825,89.3809
52,1,3995232,116.753
52,2,3995232,112.373
52,3,3995232,84.1126
52,4,3995232,94.7908
52,5,3995232,109.849
56,1,4302652,130.209
56,2,4302652,119.367
56,3,4302652,121.019
56,4,4302652,124.525
56,5,4302652,116.835
60,1,4610046,116.603
60,2,4610046,129.863
60,3,4610046,134.65
60,4,4610046,103.235
60,5,4610046,124.273
