m,sequence,IO_operations,time_seconds
4,1,433,18.9151
4,2,430,8.35966
4,3,428,6.42143
4,4,432,4.27197
4,5,428,5.68526
8,1,743,34.75
8,2,748,29.1101
8,3,746,16.0267
8,4,747,30.9951
8,5,747,21.6888
12,1,3918,48.8396
12,2,4279,42.3932
12,3,4277,77.4429
12,4,4094,85.2247
12,5,4275,93.8418
16,1,6640,54.3812
16,2,6664,64.9412
16,3,6661,89.5164
16,4,6682,93.7266
16,5,6656,107.441
20,1,7426,118.401
20,2,7426,107.608
20,3,7418,113.316
20,4,7411,116.261
20,5,7444,152.511
24,1,7974,153.921
24,2,7987,170.044
24,3,7989,187.7
24,4,7983,184.909
24,5,7979,193.618
